epoch,val/q_halt_accuracy,_step,val/cell_acc,train/q_continue_loss,train/frac_at_max_steps,val/halt_steps_hist,val/puzzle_acc,train/halt_steps_hist,train/lr,train/accuracy,val/q_halt_acc,train/avg_steps,carbon/energy_kwh,train/samples_per_sec,train/lm_loss,_runtime,val/accuracy,train/epoch_time_sec,system/gpu_mem_gb,train/q_halt_accuracy,_timestamp,train/exact_accuracy,train/q_halt_loss,carbon/emissions_kg,val/frac_at_max_steps,val/avg_steps,val/exact_accuracy,val/avg_act_steps,train/grad_norm
526,0.9985193454844767,526,0.8347541250199462,0,0.022310644388198853,"{'_type': 'histogram', 'values': [81068, 0, 0, 0, 124685, 0, 0, 0, 39334, 0, 0, 0, 17283, 0, 0, 0, 0, 9517, 0, 0, 0, 6010, 0, 0, 0, 4247, 0, 0, 0, 3280, 0, 0, 0, 0, 2681, 0, 0, 0, 2215, 0, 0, 0, 1869, 0, 0, 0, 1523, 0, 0, 0, 0, 1436, 0, 0, 0, 1286, 0, 0, 0, 1082, 0, 0, 0, 125270], 'packedBins': {'min': 1, 'size': 0.234375, 'count': 64}}",0.7002526100675046,"{'packedBins': {'size': 0.234375, 'count': 64, 'min': 1}, '_type': 'histogram', 'values': [3609, 0, 0, 0, 2322, 0, 0, 0, 585, 0, 0, 0, 143, 0, 0, 0, 0, 59, 0, 0, 0, 38, 0, 0, 0, 25, 0, 0, 0, 25, 0, 0, 0, 0, 15, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0, 11, 0, 0, 0, 0, 9, 0, 0, 0, 7, 0, 0, 0, 6, 0, 0, 0, 157]}",0.0001,0.989067650400374,0.9985193454844767,2.1213079334172713,0.0016300082489402838,34.98721197753857,1.0169982635977484,6847.6499147,0.8347541250199462,27.438596725463867,3.525885952,0.9906464665679279,1776075544.1023781,0.9697044364434766,0.09824581810681332,0.0003872720298574731,0.29629647731781006,6.6216052565600565,0.7002526100675046,6.6216052565600565,385.9145833333333
527,,527,,0,0.029456889256834984,,,,0.0001,0.98630746798732,,2.2873566774290093,0.43423160389397414,35.409631720053426,1.1854009217447297,6875.2177966,,27.111267566680908,3.525885952,0.9874086981483805,1776075571.7261474,0.959285044918163,0.11288221239468182,0.10316865253756542,,,,,379.76354166666664
533,,533,,0,0.024660732597112656,,,,0.0001,0.9878247779735622,,2.178131699748779,0.444166359748786,35.81203332437884,1.0743919454947632,7040.1720106,,26.806632041931152,3.525885952,0.9927483338696526,1776075736.5410933,0.9694534755504294,0.10282153784642131,0.10552904124635432,,,,,422.5364583333333
534,,534,,0,0.025622360408306122,,,,0.0001,0.9865912164038882,,2.172145496081021,0.4458253009498287,35.305342811334896,1.085636480700394,7067.1839362,,27.191351890563965,3.525885952,0.9880989435997168,1776075764.2485712,0.9637982632443278,0.1250741367591413,0.10592318742736885,,,,,406.96666666666664
535,,535,,0,0.02375054731965065,,,,0.0001,0.9877356396224252,,2.1577156067863412,0.44746861118497533,36.22664454800014,1.0668425958732632,7094.8950176,,26.499832153320312,3.525885952,0.9903205242148857,1776075791.2605765,0.9675550344139111,0.10546748611396259,0.1063136198628271,,,,,390.06875
537,,537,,0,0.02390778437256813,,,,0.0001,0.9876848116771012,,2.1136728082012457,0.45078266290707764,35.562441239966894,1.035522436572573,7149.7619008,,26.99477219581604,3.525885952,0.9913631699682246,1776075846.4781148,0.9682595475048432,0.09559185522935774,0.10710100209742966,,,,,376.99583333333334
542,,542,,0,0.026040107011795044,,,,0.0001,0.9868498129234347,,2.216327256481453,0.4590643205631033,35.54525791431663,1.1228478782152735,7287.717443,,27.007822036743164,3.525885952,0.9894336827097135,1776075983.8666651,0.9636810598831611,0.10103528616348752,0.10906863285826715,,,,,386.48645833333336
553,,553,,0,0.026804432272911072,,,,0.0001,0.9862745315324396,,2.232621228200837,0.9088777330329205,35.27043167364658,1.1394636141918224,14388.0350195,,27.218266248703003,3.525885952,0.9886896419820191,1776083085.1166856,0.9633560320578854,0.12423625569461628,0.21593935171355846,,,,,365.8354166666667
554,,554,,0,0.027481362223625183,,,,0.0001,0.9870577443991579,,2.1761289099124075,0.910521285691705,36.23495377152986,1.090334554748831,14415.9685345,,26.493755340576172,3.525885952,0.9891830262149235,1776083112.1228027,0.9626447754662472,0.10525217958447736,0.2163298417462064,,,,,397.909375
559,,559,,0,0.025133613497018814,,,,0.0001,0.9883114738929505,,2.1474974725300116,0.9189098842174122,35.47613834684106,1.0590179566733346,14553.6020793,,27.060442447662354,3.525885952,0.9903587651108701,1776083250.0129964,0.9667908374794079,0.09754986679103847,0.21832288048133064,,,,,375.684375
